Date,Open,High,Low,Close,Volume,Quote_Volume,Trades_Count,div,Log_VolumeGain
8/27/2021 16:00,48184.66,48546.42,47969.42,48293.69,4628,223332393,152403,0.997742355,-78.37316827
8/27/2021 20:00,48293.68,49149.93,48155,49069.9,6413,313412550,227298,0.984181341,33.88591605
8/28/2021 0:00,49069.9,49299,48835,48852.99,5600,274823555,147313,1.004440056,-13.13911002
8/28/2021 4:00,48853,49079.84,48626.49,48950,3827,187178470,106225,0.998018386,-38.40667268
8/28/2021 8:00,48949.03,49072.07,48627.31,48674.72,3988,194952130,154126,1.005635574,4.06914945
8/28/2021 12:00,48670.48,49200,48346.88,48811.12,6050,294609271,157009,0.997118689,41.28959321
8/28/2021 16:00,48811.12,49172.31,48500,48651.93,4273,208844655,122315,1.003272018,-34.40592752
8/28/2021 20:00,48651.94,48975.16,48578.29,48895.35,2943,143557954,106024,0.995021817,-37.48518838
8/29/2021 0:00,48895.35,49632.27,48067.53,48227.31,9312,455694893,241435,1.013851903,115.5084677
8/29/2021 4:00,48223.59,48600,47762.54,48480.1,5486,264726141,214464,0.994708963,-54.31276298
8/29/2021 8:00,48480.11,48650.84,48140,48159.98,4379,212238825,159685,1.00664722,-22.09836878
8/29/2021 12:00,48159.98,48561.46,48105.03,48474.95,4373,211492247,239050,0.993502417,-0.352383302
8/29/2021 16:00,48474.96,48877.88,48329.22,48799.27,4036,196356839,144293,0.993354204,-7.425472953
8/29/2021 20:00,48799.28,49385.42,48366.71,48767.83,5065,248152471,194119,1.000644892,23.41097486
8/30/2021 0:00,48767.84,48888.61,47803,47964.04,6018,291237752,157630,1.016758388,16.00965911
8/30/2021 4:00,47964.02,48139.63,47610.6,47930.4,6182,296013286,241392,1.000701434,1.626438768
8/30/2021 8:00,47933.16,48200,47620.05,47902.76,4820,231022626,157091,1.000634619,-24.78886847
8/30/2021 12:00,47902.76,48089.3,47370,48019.64,7559,360816872,237657,0.997565996,44.58548961
8/30/2021 16:00,48012.78,48620,47956.63,48619.99,6267,302480335,172274,0.987511104,-17.63542828
8/30/2021 20:00,48619.99,48696.87,46853,46982.91,9442,450773560,237968,1.034844159,39.89488621
8/31/2021 0:00,46982.91,47220.97,46700,47150.68,6898,323697530,175754,0.996441833,-33.11555988
